LGA_region
Yarrabah
Adelaide
Adelaide Hills
Alexandrina
Anangu Pitjantjatjara
Barossa
Barunga West
Berri and Barmera
Burnside
Ceduna
Charles Sturt
Clare and Gilbert Valleys
Cleve
Coober Pedy
Copper Coast
Elliston
Flinders Ranges
Franklin Harbour
Gawler
Goyder
Grant
Holdfast Bay
Kangaroo Island
Karoonda East Murray
Kimba
Kingston
Light
Lower Eyre Peninsula
Loxton Waikerie
Mallala
Maralinga Tjarutja
Marion
Mid Murray
Mitcham
Mount Barker
Mount Gambier
Mount Remarkable
Murray Bridge
Naracoorte and Lucindale
Northern Areas
Norwood Payneham St Peters
Onkaparinga
Orroroo/Carrieton
Peterborough
Playford
Port Adelaide Enfield
Port Augusta
Port Lincoln
Port Pirie City and Dists
Prospect
Renmark Paringa
Robe
Roxby Downs
Salisbury
Southern Mallee
Streaky Bay
Tatiara
Tea Tree Gully
The Coorong
Tumby Bay
Unley
Victor Harbor
Wakefield
Walkerville
Wattle Range
West Torrens
Whyalla
Wudinna
Yankalilla
Yorke Peninsula
Break O'Day
Brighton
Burnie
Central Coast
Circular Head
Clarence
Derwent Valley
Devonport
Dorset
George Town
Glamorgan/Spring Bay
Glenorchy
Hobart
Huon Valley
Kentish
Kingborough
King Island
Latrobe
Launceston
Meander Valley
Northern Midlands
Sorell
Southern Midlands
Tasman
Waratah/Wynyard
West Coast
West Tamar
Alpine
Ararat
Ballarat
Banyule
Bass Coast
Baw Baw
Bayside
Benalla
Boroondara
Brimbank
Buloke
Campaspe
Cardinia
Casey
Central Goldfields
Colac-Otway
Corangamite
Darebin
East Gippsland
Frankston
Gannawarra
Glen Eira
Glenelg
Golden Plains
Greater Bendigo
Greater Dandenong
Greater Geelong
Greater Shepparton
Hepburn
Hindmarsh
Hobsons Bay
Horsham
Hume
Indigo
Knox
Loddon
Macedon Ranges
Manningham
Mansfield
Maribyrnong
Maroondah
Melbourne
Melton
Mildura
Mitchell
Moira
Monash
Moonee Valley
Moorabool
Moreland
Mornington Peninsula
Mount Alexander
Moyne
Murrindindi
Nillumbik
Northern Grampians
Port Phillip
Pyrenees
Queenscliffe
Southern Grampians
South Gippsland
Stonnington
Strathbogie
Surf Coast
Swan Hill
Towong
Wangaratta
Warrnambool
West Wimmera
Whitehorse
Whittlesea
Wodonga
Wyndham
Yarra
Yarra Ranges
Yarriambiack
Albany
Armadale
Ashburton
Augusta-Margaret River
Bassendean
Bayswater
Belmont
Beverley
Boddington
Boyup Brook
Bridgetown-Greenbushes
Brookton
Broomehill-Tambellup
Broome
Bruce Rock
Bunbury
Busselton
Cambridge
Canning
Capel
Carnamah
Carnarvon
Chapman Valley
Chittering
Claremont
Cockburn
Collie
Coolgardie
Coorow
Corrigin
Cottesloe
Cranbrook
Cuballing
Cue
Cunderdin
Dalwallinu
Dandaragan
Dardanup
Denmark
Derby-West Kimberley
Donnybrook-Balingup
Dowerin
Dumbleyung
Dundas
East Fremantle
East Pilbara
Esperance
Exmouth
Fremantle
Geraldton-Greenough
Gingin
Gnowangerup
Goomalling
Gosnells
Halls Creek
Harvey
Irwin
Jerramungup
Joondalup
Kalamunda
Kalgoorlie/Boulder
Katanning
Kellerberrin
Kent
Kojonup
Kondinin
Koorda
Kulin
Kwinana
Lake Grace
Laverton
Leonora
Mandurah
Manjimup
Meekatharra
Melville
Menzies
Merredin
Mingenew
Moora
Morawa
Mosman Park
Mount Magnet
Mount Marshall
Mukinbudin
Mullewa
Mundaring
Murchison
Nannup
Narembeen
Narrogin
Nedlands
Ngaanyatjarraku
Northampton
Northam
Nungarin
Peppermint Grove
Perenjori
Perth
Pingelly
Plantagenet
Port Hedland
Quairading
Ravensthorpe
Rockingham
Roebourne
Sandstone
Serpentine-Jarrahdale
Shark Bay
South Perth
Stirling
Subiaco
Swan
Tammin
Three Springs
Toodyay
Trayning
Upper Gascoyne
Victoria Park
Victoria Plains
Vincent
Wagin
Wandering
Wanneroo
Waroona
West Arthur
Westonia
Wickepin
Williams
Wiluna
Wongan-Ballidu
Woodanilling
Wyalkatchem
Wyndham-East Kimberley
Yalgoo
Yilgarn
York
